# Name : Surface component 1
# Stage: 45.000 s
# Units: length:mm angle:deg strain:% 
id,x,y,z,major_strain
326,-20.9366,25.2627,0.0000,0.9745
327,-20.9543,25.8113,0.0000,0.5341
328,-20.9699,26.3562,0.0000,0.5251
329,-20.9879,26.9032,0.0000,0.8749
330,-21.0052,27.4536,0.0000,1.2205
331,-21.0216,28.0063,0.0000,1.4944
332,-21.0382,28.5590,0.0000,1.3950
333,-21.0564,29.1092,0.0000,1.2546
334,-21.0709,29.6561,0.0000,0.5414
335,-21.0902,30.2027,0.0000,0.8410
336,-21.1120,30.7551,0.0000,1.3913
337,-21.1308,31.3064,0.0000,1.1576
338,-21.1446,31.8551,0.0000,1.3712
339,-21.1637,32.4104,0.0000,1.8900
340,-21.1826,32.9627,0.0000,1.6321
341,-21.2006,33.5149,0.0000,1.1645
342,-21.2179,34.0630,0.0000,0.7813
343,-21.2352,34.6093,0.0000,0.8873
344,-21.2511,35.1594,0.0000,0.8479
345,-21.2662,35.7071,0.0000,0.6724
346,-21.2807,36.2548,0.0000,1.0289
347,-21.2969,36.8060,0.0000,1.3588
348,-21.3158,37.3576,0.0000,1.2218
349,-21.3376,37.9067,0.0000,0.7602
350,-21.3578,38.4546,0.0000,0.8232
351,-21.3738,39.0042,0.0000,1.1773
352,-20.9727,39.2201,0.0000,1.3756
353,-20.4298,39.2220,0.0000,1.4587
354,-19.8861,39.2264,0.0000,1.7518
355,-19.3427,39.2261,0.0000,0.8714
356,-18.8012,39.2291,0.0000,1.3507
357,-18.2584,39.2316,0.0000,1.6552
358,-17.7163,39.2299,0.0000,0.9981
359,-17.1766,39.2296,0.0000,0.6828
360,-16.6356,39.2333,0.0000,1.0368
361,-16.0899,39.2363,0.0000,1.0797
362,-15.5452,39.2358,0.0000,0.6228
363,-15.0047,39.2388,0.0000,1.0893
364,-14.4632,39.2433,0.0000,1.4721
365,-13.9201,39.2438,0.0000,0.9150
366,-13.3778,39.2462,0.0000,1.1944
367,-12.8358,39.2476,0.0000,1.2797
368,-12.2913,39.2510,0.0000,1.3203
369,-11.7495,39.2503,0.0000,0.2406
370,-11.2099,39.2568,0.0000,1.0287
371,-10.6672,39.2630,0.0000,1.4876
372,-10.1270,39.2698,0.0000,1.8072
373,-9.5845,39.2818,0.0000,3.3520
374,-9.0401,39.3040,0.0000,10.2973
376,-7.9172,39.3893,0.0000,-10.2965
377,-7.4854,39.3916,0.0000,-9.0025
378,-6.9574,39.4072,0.0000,-1.4566
379,-6.4168,39.4061,0.0000,0.6250
380,-5.8745,39.4051,0.0000,0.7567
381,-5.3346,39.4038,0.0000,0.4524
382,-4.7936,39.4006,0.0000,0.0437
383,-4.2541,39.3982,0.0000,0.1542
384,-3.7127,39.3990,0.0000,4.9883
385,-3.1565,39.3584,0.0000,7.5034
386,-2.5920,39.2974,0.0000,7.1724
387,-2.0270,39.2496,0.0000,1.9768
388,-1.4858,39.2508,0.0000,0.7261
389,-0.9418,39.2494,0.0000,0.9080
390,-0.4002,39.2474,0.0000,0.7100
391,0.1414,39.2445,0.0000,0.8979
392,0.6839,39.2390,0.0000,0.3845
393,1.2261,39.2354,0.0000,0.2116
394,1.7683,39.2337,0.0000,0.8074
395,2.3088,39.2282,0.0000,0.1374
